loan_id,loan_amount,interest_rate,term,credit_score,annual_income,employment_status,home_ownership,purpose,state,loan_status,preferred_loan_date
0df15a75-4498-464f-9514-ada42fcff8b8,13740,0.13176203882720686,45,676,48273,Employed,Rent,Debt consolidation,SC,Approved,2023-04-14
3ead5bd1-9bc0-4a3b-ad0e-4b4a8d85a89c,55208,0.2100943357208111,20,623,75540,Employed,Rent,Business,VT,Rejected,2021-04-25
2ffab59a-d980-4c82-9568-9e3058267fbd,18201,0.22511751042513922,23,762,110911,Employed,Mortgage,Debt consolidation,DC,Rejected,2024-06-01
04c66fb7-ecda-4e45-a1a0-b960e1491c2b,61728,0.09222014586308432,48,801,108068,Employed,Mortgage,Home improvement,WA,Rejected,2023-09-29
dacd2f2c-a2b4-49b4-ada4-e9de93592653,11440,0.1734771609426568,30,799,74989,Self-employed,Rent,Personal,NY,Approved,2024-03-23
df35a68d-e4a6-4afc-b661-ae8dabcb94dc,95892,0.1050588382237639,21,762,117466,Self-employed,Mortgage,Personal,MS,Approved,2022-10-03
16c26e33-ce1f-425d-94a3-78f61b2346ea,85239,0.12772599629627507,27,710,30352,Employed,Rent,Personal,OH,Rejected,2022-11-08
a9b18ca9-7bfb-437d-a22f-ac662507245a,75026,0.0758516108589945,28,618,144540,Employed,Own,Home improvement,OH,Rejected,2022-01-12
df9bbb8f-7c1b-4a19-8dac-386413789f2e,64652,0.24134890845080598,32,769,58242,Employed,Rent,Business,MH,Approved,2021-03-09
910c1711-743c-4958-bec1-2f749ed03092,73516,0.15259861856786983,12,633,82680,Employed,Mortgage,Home improvement,PR,Approved,2022-07-17
8cd89e64-c266-4f54-be31-21119e0378c3,49776,0.11013651163853043,59,612,85344,Self-employed,Own,Business,NH,Approved,2021-05-15
c137dc10-745e-4c9f-a687-a719b15ea48e,89250,0.20947975311445005,17,679,142286,Employed,Rent,Personal,MD,Approved,2021-05-21
2ed33646-e6f8-4c5c-995e-9482236d9a56,52776,0.24415429004141587,32,707,56013,Employed,Own,Debt consolidation,CT,Approved,2022-12-03
2583dbda-6e19-4adc-a332-11c5c43f9412,33138,0.176470732082377,38,620,116789,Employed,Mortgage,Debt consolidation,TX,Approved,2021-02-16
1ad0c9c8-c864-48b8-a46a-8edd09110bc8,45051,0.0565760322464572,51,668,65907,Unemployed,Own,Home improvement,AR,Approved,2020-03-11
0025fecd-c94d-4f24-8b51-6e7e88a22c93,72394,0.21851175950772522,53,571,41103,Self-employed,Rent,Personal,TX,Rejected,2023-10-20
