loan_id,loan_amount,interest_rate,term,credit_score,annual_income,employment_status,home_ownership,purpose,state,loan_status,preferred_loan_date
0aadbe5d-8102-4cf0-a20d-302bf8397633,92261,0.2207337274706671,23,771,143516,Self-employed,Own,Business,UT,Approved,2021-02-01
80bcef9d-733b-4904-bcaf-3998b7e163ec,8556,0.1640643154317333,33,804,69592,Unemployed,Mortgage,Business,PA,Rejected,2024-02-29
10704a7d-2232-4c99-8a9d-eea8139eaccd,23510,0.236287348697894,18,819,140924,Unemployed,Rent,Business,AS,Rejected,2020-12-01
6ce573e0-6acd-455b-88e0-bfd9dc8770bf,11371,0.1219818876709617,33,658,128450,Unemployed,Rent,Home improvement,TX,Rejected,2022-01-01
d9244a9e-fec2-44ff-83f7-bba9952ee966,81750,0.1232362782348527,15,591,55411,Self-employed,Mortgage,Home improvement,PA,Rejected,2023-04-28
1a41e862-7e0d-47f1-90d1-c4a25f760693,32399,0.1669021611314506,29,833,74253,Unemployed,Mortgage,Home improvement,KY,Rejected,2021-02-25
225e6e97-abf5-45f0-8844-ec8dc8263b3c,77186,0.1696062271263497,50,648,75965,Employed,Mortgage,Home improvement,SD,Approved,2022-11-27
d770a4d2-9db2-442c-b9de-a096a1b39501,55609,0.2024379644476736,54,650,102439,Employed,Mortgage,Personal,GU,Rejected,2024-05-12
acf2ef9f-e2c3-471f-80ad-7197e199d6f0,76144,0.1081237401711592,22,782,62182,Self-employed,Own,Home improvement,MN,Rejected,2023-02-11
18d34224-a910-4de2-8a0d-7835b823300a,94429,0.2471912767514099,17,612,114839,Self-employed,Rent,Debt consolidation,NV,Rejected,2020-09-09
e639d9db-84f7-4086-acbd-0888b0ad8bb9,30458,0.229331092755072,38,501,109345,Self-employed,Rent,Personal,AR,Approved,2024-05-02
83709973-3cf3-442d-89eb-436232ce0164,35517,0.1598243591394523,59,821,51423,Self-employed,Rent,Business,OK,Approved,2021-10-21
27334410-0480-4d96-81ef-4f6de0760990,61574,0.0897241063132435,18,742,49212,Unemployed,Rent,Home improvement,HI,Approved,2024-01-27
ebba77a3-c51a-4375-ad39-cfb0c3b3fcf5,14337,0.0989937816806285,59,573,143292,Self-employed,Mortgage,Personal,MS,Rejected,2022-05-05
f6fa78f6-8316-4497-bb83-f90ef6f1e7ba,75025,0.193546083123927,60,777,100932,Employed,Rent,Home improvement,MA,Rejected,2020-05-18
7442a057-167f-43cc-8348-866b919184a9,46161,0.2402138170760644,46,502,82708,Self-employed,Rent,Personal,KY,Rejected,2023-06-30
df431079-9a91-4d1f-bf6e-89736b95b679,60317,0.0756120093204133,13,707,126253,Self-employed,Own,Business,GU,Approved,2020-03-10
e12861ec-f6bb-4a55-9442-ac13e26efb7b,94127,0.2053636350143063,28,679,127024,Employed,Own,Debt consolidation,MI,Approved,2021-05-01
5705a06f-ca9b-44d9-b75d-545ad489da70,47661,0.1838145213776158,39,765,26854,Unemployed,Mortgage,Personal,NM,Rejected,2022-05-04
e86ff3a5-3ea1-4b60-a3fc-277bc3a123ce,40119,0.0575909871930294,26,734,61218,Unemployed,Mortgage,Debt consolidation,DE,Approved,2022-04-03
661246a9-3d24-41f1-929e-e62273ec9fb3,77786,0.1123751569716658,27,606,117014,Employed,Own,Home improvement,PW,Rejected,2022-02-28
c5f240c3-9960-4f72-b0ea-9ae61321507a,96513,0.1942727948246768,14,559,102032,Unemployed,Mortgage,Business,OK,Rejected,2022-05-01
4349d047-9386-4517-9af9-4ab57eefc441,30264,0.2278604484086492,58,721,104607,Self-employed,Mortgage,Business,MN,Approved,2020-12-06
8e8f78ae-be57-49c6-b2f2-634fa2899ca8,98570,0.1567389479413654,19,725,109845,Self-employed,Own,Debt consolidation,AS,Approved,2023-11-11
3614f8e2-4b32-40e2-ab77-bb837a6a60a0,49083,0.1197162658719616,51,651,66842,Unemployed,Mortgage,Home improvement,KY,Approved,2023-09-07
e0a90aba-5876-490d-b93c-b532aa189ec9,37036,0.1388664785980685,20,796,83526,Unemployed,Own,Business,KS,Approved,2021-12-17
c413142c-50c1-4da2-b64e-c13162954fda,62041,0.1563890820931605,44,665,37615,Self-employed,Own,Debt consolidation,CT,Rejected,2020-02-22
ee726dfb-9470-42f0-bb8a-6caaf56b25f9,8124,0.2133849934469818,58,813,76326,Self-employed,Own,Debt consolidation,AK,Rejected,2022-11-03
7929dd3d-a040-42e0-b215-d760f21b1a71,13186,0.1863212760405337,18,533,82554,Employed,Mortgage,Personal,NM,Approved,2023-06-23
19d18812-2e5f-428e-9d45-e70611ec978b,13995,0.2175072767666929,34,646,76361,Unemployed,Own,Business,IA,Rejected,2020-05-08
bf3cf213-4809-4990-aec9-1fe7ea4cb356,81083,0.1726660645227768,53,541,78495,Employed,Mortgage,Business,VA,Approved,2021-09-24
99a6e37e-1812-4d3f-a0ec-e5d26ebaf20b,98416,0.1609887500550065,48,514,108442,Self-employed,Own,Personal,HI,Approved,2022-03-14
c9888463-ae30-447b-87d6-748a482159d9,43198,0.2473774017758215,39,811,145523,Self-employed,Mortgage,Debt consolidation,CO,Rejected,2020-10-19
b2f31f11-2677-4da5-9163-42c16017c631,76300,0.0534757107158428,15,503,66140,Employed,Own,Personal,CO,Approved,2022-01-30
c654380f-a493-4ad8-8f17-fa696383c066,6211,0.2250132744226908,55,722,140102,Unemployed,Own,Debt consolidation,VA,Rejected,2024-03-24
fec63148-1653-484f-856c-ddf2a91872ed,89495,0.1185153824522867,20,583,75486,Self-employed,Rent,Personal,MI,Approved,2023-05-29
0d9cf8cb-f71b-4c1f-9f37-c3693270a40f,17889,0.0761230346353259,44,809,51108,Employed,Mortgage,Home improvement,NH,Approved,2022-03-05
0c06f8e0-70d5-4beb-826f-2cc08b7fe49c,86210,0.2247931203642708,17,593,117988,Employed,Own,Business,AL,Approved,2022-03-02
cb64889b-d2fc-4d6d-b808-a4aa5f177aac,19333,0.0748481176909905,47,586,140268,Self-employed,Rent,Home improvement,AR,Approved,2020-07-16
694e29db-be25-492a-b986-8a5bba61193d,77337,0.1047462039910738,59,679,33597,Self-employed,Own,Business,OK,Approved,2022-01-15
f64636fb-fe41-4455-b92b-335d841e1b80,23582,0.1632495435952859,53,576,72531,Self-employed,Own,Personal,AZ,Approved,2022-08-05
3e775c69-eb0d-4068-9573-d9c7674fc1f2,53936,0.0893197399496505,50,634,64346,Employed,Mortgage,Home improvement,SC,Approved,2021-06-17
0a648bac-2546-4c6e-814f-6e4c009da63c,46626,0.1290011685719248,13,618,28708,Employed,Rent,Debt consolidation,CO,Rejected,2021-04-08
92d87053-a650-4a61-ae56-7c9dafc7034e,91905,0.221636113184029,35,606,32083,Self-employed,Mortgage,Personal,FL,Rejected,2023-04-09
ed58347e-6474-4f68-b340-7cd60667ceb4,96810,0.1395595176006414,60,782,110646,Self-employed,Rent,Debt consolidation,PA,Rejected,2024-05-03
0806a980-7cf6-4eca-939b-e4f151c2ba81,62482,0.1115475090650881,45,599,80874,Employed,Mortgage,Debt consolidation,NE,Approved,2022-12-18
17c3be99-b43d-417b-ac8b-fbc561be9e93,56830,0.1364972735430843,28,816,119630,Employed,Mortgage,Debt consolidation,OR,Rejected,2024-01-10
d5c8b81b-c066-44c8-b8fd-93ba2a062eae,68996,0.119078612150617,53,796,22791,Self-employed,Rent,Personal,NJ,Rejected,2021-01-22
9a718d19-3466-4d06-9511-abd27ea79b4e,83034,0.1850915791976873,18,582,98292,Self-employed,Own,Home improvement,MN,Approved,2022-12-11
7c377c5d-dd03-4d06-8eb6-081416081455,82969,0.0828626271404402,43,689,49836,Unemployed,Own,Business,MP,Rejected,2021-12-25
407ae617-3b17-49eb-83cf-369541bd08a8,82849,0.2376447989228292,46,544,48075,Unemployed,Mortgage,Debt consolidation,DC,Approved,2022-03-04
e991befb-e264-4509-96f6-f3a1fc73b2cd,14034,0.0805810444680219,55,641,127055,Self-employed,Own,Business,OK,Rejected,2022-12-27
6b715f61-de5d-4b4f-b3de-14e4f6d00283,97157,0.1969393440507365,42,782,122425,Self-employed,Mortgage,Home improvement,ND,Approved,2023-08-13
